phage_id,phage_name,family,receptor_target,pathogen_id,host_strain,infection_result,infection_probability,evidence_level,evidence_ref,notes
PHAGE-CP-p-BC-23086,CP-p-BC-23086,Myoviridae,LPS,PATH-001,CLINICAL_CASE-001,Lytic,0.98,L3,"CASE-001","XXX病例使用，临床验证有效"
PHAGE-CP-p-BC-23062,CP-p-BC-23062,Myoviridae,LPS,PATH-001,CLINICAL_CASE-001,Lytic,0.96,L3,"CASE-001","XXX病例使用，临床验证有效"
PHAGE-PKP001,PKP001,Unknown,Unknown,PATH-003,B-KP11,Lytic,1.0,L2,"肺克裂解谱数据","合作方提供，体外验证"
PHAGE-PKP002,PKP002,Unknown,Unknown,PATH-003,B-KP11,Lytic,1.0,L2,"肺克裂解谱数据","合作方提供，体外验证"
PHAGE-PKP012,PKP012,Unknown,Unknown,PATH-003,B-KP3,Lytic,1.0,L2,"肺克裂解谱数据","合作方提供，体外验证"
PHAGE-PKP019,PKP019,Unknown,Unknown,PATH-003,B-KP3,Lytic,1.0,L2,"肺克裂解谱数据","合作方提供，体外验证"
PHAGE-PKP021,PKP021,Unknown,Unknown,PATH-003,B-KP3,Lytic,1.0,L2,"肺克裂解谱数据","合作方提供，体外验证"
PHAGE-PKP021,PKP021,Unknown,Unknown,PATH-003,B-KP11,Lytic,1.0,L2,"肺克裂解谱数据","合作方提供，体外验证"
PHAGE-PKP022,PKP022,Unknown,Unknown,PATH-003,B-KP11,Lytic,1.0,L2,"肺克裂解谱数据","合作方提供，体外验证"
PHAGE-PKP024,PKP024,Unknown,Unknown,PATH-003,B-KP3,Lytic,1.0,L2,"肺克裂解谱数据","合作方提供，体外验证"
PHAGE-PKP025,PKP025,Unknown,Unknown,PATH-003,B-KP3,Lytic,1.0,L2,"肺克裂解谱数据","合作方提供，体外验证"
PHAGE-Phage cocktail (bladder irrigation),Phage cocktail (bladder irrigation),Unknown,Unknown,PATH-003,PUBLIC-STRAIN-001,Lytic,1.0,L3,"Public case report (China, 2024)","CRKP尿路感染，膀胱灌注噬菌体鸡尾酒，临床验证有效"
PHAGE-KpJH46φ2,KpJH46φ2,Unknown,Unknown,PATH-003,PUBLIC-STRAIN-002,Lytic,1.0,L3,"Public case report (USA, 2021)","假体关节感染，静脉注射单一噬菌体，临床验证有效"
PHAGE-Unnamed phage (UTI),Unnamed phage (UTI),Unknown,Unknown,PATH-003,PUBLIC-STRAIN-003,Lytic,1.0,L3,"Public case report (China, 2020)","广泛耐药肺炎克雷伯菌尿路感染，噬菌体+复方新诺明，临床治愈"
PHAGE-Pre-adapted phage (Fracture),Pre-adapted phage (Fracture),Unknown,Unknown,PATH-003,PUBLIC-STRAIN-004,Lytic,1.0,L3,"Public case report (Israel, 2022)","全耐药肺炎克雷伯菌骨折相关感染，预适应噬菌体+美罗培南，临床改善"
PHAGE-Personalized phage (7 rounds),Personalized phage (7 rounds),Unknown,Unknown,PATH-003,PUBLIC-STRAIN-005,Lytic,1.0,L3,"Public case report (China, 2026)","ICU患者多重耐药肺炎克雷伯菌肺炎，7轮个性化噬菌体治疗，循环清除/复发"
PHAGE-SPCP-PA01,SPCP-PA01,Unknown,Unknown,PATH-004,CLINICAL_STRAIN_PA-001,Lytic,1.0,L2,"Clinical trial (2025)","铜绿假单胞菌鸡尾酒配方，8例入组，临床改善率100%，安全性良好"
PHAGE-AB_CK5,AB_CK5,Unknown,Unknown,PATH-002,CLINICAL_STRAIN_AB-001,Lytic,1.0,L2,"Clinical trial (2025)","鲍曼不动杆菌固定配方，8例入组，细菌清除率100%"
PHAGE-AB_CK2,AB_CK2,Unknown,Unknown,PATH-002,CLINICAL_STRAIN_AB-001,Lytic,1.0,L2,"Clinical trial (2025)","KL2型鲍曼不动杆菌噬菌体制剂，10例ICU应用，细菌清除100%"
PHAGE-HP3.1,HP3.1,Unknown,Unknown,PATH-001,PUBLIC-STRAIN-006,Lytic,1.0,L3,"TOR001 study (2025), PMID: 40930191","慢性UTI，膀胱灌注+口服+局部，临床验证有效"
PHAGE-HP3,HP3,Unknown,Unknown,PATH-001,PUBLIC-STRAIN-006,Lytic,1.0,L3,"TOR001 study (2025), PMID: 40930191","慢性UTI，膀胱灌注+口服+局部，临床验证有效"
PHAGE-ES19,ES19,Unknown,Unknown,PATH-001,PUBLIC-STRAIN-006,Lytic,1.0,L3,"TOR001 study (2025), PMID: 40930191","慢性UTI，膀胱灌注+口服+局部，临床验证有效"
PHAGE-Personalized cocktail,Personalized cocktail,Klebsiella phage,Unknown,PATH-003,PUBLIC-STRAIN-007,Lytic,1.0,L3,"Nature Communications (2026), doi:10.1038/s41467-026-69154-0","腹膜透析相关腹膜炎，腹腔内噬菌体+亚胺培南，临床治愈"
PHAGE-KpJH46φ2,KpJH46φ2,Unknown,Unknown,PATH-003,PUBLIC-STRAIN-008,Lytic,1.0,L3,"Clin Infect Dis (2021), PMID: 33895800","假体膝关节感染，40次静脉注射，34周无症状"
PHAGE-Personalized cocktail,Personalized cocktail,Pseudomonas phage,Unknown,PATH-004,PUBLIC-STRAIN-009,Lytic,1.0,L3,"Viruses (2025), doi:10.3390/v17010123","Bentall术后心内膜炎，联合抗生素，临床治愈"
PHAGE-Personalized cocktail,Personalized cocktail,Klebsiella phage,Unknown,PATH-003,PUBLIC-STRAIN-010,Lytic,1.0,L3,"Nature Communications (2026), doi:10.1038/s41467-026-75735-w","ICU肺部感染，7轮个性化噬菌体，6个月脱机出院"
PHAGE-AB_CK2,AB_CK2,Unknown,Unknown,PATH-005,STRAIN-PM-001,Lytic,1.0,L1,"自测","测试"
