phage_id,phage_name,family,receptor_target,pathogen_id,infection_result,infection_probability,evidence_level,evidence_ref,notes
PHAGE-001,CP-p-BC-23086,Myoviridae,Capsular polysaccharide,PATH-001,Lytic,0.98,L3,"CASE-001","李桂东病例使用，临床验证有效"
PHAGE-002,CP-p-BC-23062,Myoviridae,Capsular polysaccharide,PATH-001,Lytic,0.96,L3,"CASE-001","李桂东病例使用，临床验证有效"
PHAGE-003,vB_EcoM_006,Siphoviridae,Outer membrane protein,PATH-001,Lytic,0.89,L2,,"体外验证，裂解活性强"
PHAGE-004,vB_EcoM_003,Siphoviridae,Unknown,PATH-001,Lytic,0.88,L2,,"体外验证，裂解效率中等"
PHAGE-005,vB_EcoM_012,Myoviridae,Capsular polysaccharide,PATH-001,Lytic,0.79,L2,,"体外验证"
PHAGE-006,vB_EcoM_001,Myoviridae,Lipopolysaccharide,PATH-001,Lytic,0.95,L1,"PMID:12345678","高效裂解，文献报道"
PHAGE-007,vB_EcoM_009,Myoviridae,Unknown,PATH-001,Lytic,0.94,L1,,"体外筛选，裂解谱广"
PHAGE-008,vB_EcoM_007,Myoviridae,Capsular polysaccharide,PATH-001,Lytic,0.93,L1,,"基因组注释完整，安全标记"
PHAGE-009,vB_EcoM_005,Myoviridae,Outer membrane protein,PATH-001,Lytic,0.92,L1,"PMID:34567890","文献报道，裂解效率高"
PHAGE-010,vB_EcoM_002,Myoviridae,Lipopolysaccharide,PATH-001,Lytic,0.90,L1,"PMID:23456789","文献报道，宿主谱较窄"
PHAGE-011,vB_EcoM_010,Siphoviridae,Unknown,PATH-001,Lytic,0.86,L1,,"体外筛选"
PHAGE-012,vB_EcoM_004,Podoviridae,Unknown,PATH-001,Lytic,0.85,L1,,"体外筛选"
PHAGE-013,vB_AbaM_001,Myoviridae,Capsular polysaccharide,PATH-002,Lytic,0.70,L2,,"体外验证，靶向CRAB"
PHAGE-014,vB_AbaM_002,Myoviridae,Unknown,PATH-002,Lytic,0.75,L3,"CASE-007","临床验证有效"
PHAGE-015,vB_AbaM_003,Siphoviridae,Outer membrane protein,PATH-002,Lytic,0.82,L3,"CASE-004","临床验证有效"
PHAGE-016,vB_AbaM_004,Podoviridae,Lipopolysaccharide,PATH-002,Lytic,0.68,L2,,"体外验证"
PHAGE-017,vB_AbaM_005,Myoviridae,Capsular polysaccharide,PATH-002,Lytic,0.78,L3,"CASE-004","临床验证有效"
PHAGE-018,vB_AbaM_006,Siphoviridae,Unknown,PATH-002,Lytic,0.66,L1,,"体外筛选"
PHAGE-019,vB_AbaM_007,Myoviridae,Outer membrane protein,PATH-002,Lytic,0.80,L3,"CASE-013","临床验证有效"
PHAGE-020,vB_AbaM_008,Myoviridae,Capsular polysaccharide,PATH-002,Lytic,0.65,L1,"PMID:56789012","文献报道"
PHAGE-021,vB_Kpn_001,Myoviridae,Capsular polysaccharide,PATH-003,Lytic,0.91,L3,"CASE-005","临床验证有效"
PHAGE-022,vB_Kpn_002,Podoviridae,Unknown,PATH-003,Lytic,0.72,L1,"PMID:67890123","文献报道"
PHAGE-023,vB_Kpn_003,Siphoviridae,Outer membrane protein,PATH-003,Lytic,0.85,L2,,"体外验证"
PHAGE-024,vB_Kpn_004,Myoviridae,Lipopolysaccharide,PATH-003,Lytic,0.73,L1,,"体外筛选"
