event_type,title,factual_summary,organization_name,program_name,event_date,published_at,source_url,source_type
regulatory_update,APT announces FDA IND clearance for PhageBank in DFO,APT获得FDA IND批准启动PhageBank™治疗糖尿病足骨髓炎（DFO）的临床试验,Adaptive Phage Therapeutics,PhageBank-DFO,2021-01-15,2021-01-16,https://www.adaptivephage.com/news/,press_release
funding,APT awarded $14M DoD contract,美国国防部授予APT 1400万美元合同用于PhageBank™平台开发,Adaptive Phage Therapeutics,,2019-06-01,2019-06-03,https://www.adaptivephage.com/news/,press_release
funding,Locus awarded $3.3M NIH grant,Locus Biosciences获得NIH 330万美元资助用于LBP-PA01的1b期临床试验,Locus Biosciences,LBP-PA01,2025-01-07,2025-01-07,https://www.locus-bio.com/news,press_release
publication,Locus AI-designed phage therapy enters clinic,Locus利用AI和机器人平台设计的噬菌体疗法LBP-PA01进入临床试验阶段,Locus Biosciences,LBP-PA01,2025-01-07,2025-01-07,https://www.locus-bio.com/news,press_release
clinical_trial_update,BiomX BX211 Phase 2 positive topline results,BiomX公布BX211治疗糖尿病足骨髓炎2期临床积极顶线结果,BiomX,BX211,2025-04-01,2025-04-02,https://www.biomx.com/news/,press_release
regulatory_update,BiomX receives positive FDA feedback for BX011,BiomX获得FDA积极反馈支持BX011进入糖尿病足感染适应症,BiomX,BX011,2025-11-04,2025-11-04,https://www.biomx.com/news/,press_release
regulatory_update,Intralytix receives FDA approval for ListShield,Intralytix成为全球首家获得FDA噬菌体食品安全产品批准的公司,Intralytix,ListShield,2006-01-01,2006-01-02,https://www.intralytix.com/news,press_release
acquisition,BiomX acquires Adaptive Phage Therapeutics,BiomX宣布收购Adaptive Phage Therapeutics整合双方管线和技术平台,BiomX,,2026-02-03,2026-02-04,https://www.biomx.com/news/biomx-acquires-apt,press_release
funding,格瑞农生物完成近亿元Pre-B轮融资,格瑞农生物完成近亿元Pre-B轮融资由国信弘盛领投,格瑞农生物,,2025-12-22,2025-12-22,https://mp.weixin.qq.com/s/HgNRo4JmWWkw8kYtQglZWQ,news_article
partnership,Palantir 与诺华合作构建 Data42 本体化数据平台,诺华通过 Palantir Foundry Ontology + AIP 整合 7 亿患者生命数据与约 100 万试验患者数据（3000 项试验），ChatRWE 让非技术用户以自然语言进行跨域队列查询（年龄/合并症/实验室检查/治疗线数），本体层承担同义词消解与跨域 join,Novartis,Data42,2023-01-01,2026-08-30,https://mp.weixin.qq.com/s/XNYLebbVMrD42y8kEMzalg,news_article
